- kgethegilego	special
TB ya go se be mafahleng	extrapulmonary tuberculosis / extrapulmonary TB
TB ya mafahla / TB ya maswafo	pulmonary tuberculosis / pulmonary TB
TRC / Khomišene ya Therešo le Poelanyo	Truth and Reconciliation Commission / TRC
Taoism / tumelo ya Setšhaena ya bophelo bja go lekanela	Taoism
Th / dikete	thousands / Th
Tokollo ya Boditšhabatšhaba / Tshwarelo ya Boditšhabatšhaba	Amnesty International
Tšhatha ya Ditokelo tša Bana	Charter of Children's Rights / Children's Charter
U / metšo	units / U
U-makenethe	U-magnet
V / bolte / volte	volt / V
WWW / tsela ya tshedimošo ye e tseneletšego Inthaneteng	World Wide Web / WWW
aba	share
aba / fa	supply
aba / fa / aba sehlare	dispense
aba madi	donate blood
abaganya	apportion
aderenalini / aterenalini	adrenalin / adrenaline
aene ya sitimi	steam iron
aese / kgapetla	ice
afidaviti / lengwalokeno	affidavit
afišionato / morati wa mmino	aficionado
aga	build
aga leswa / aga lefša	recreate
ahlama	wide
akalala / phaphamala	float
akanya / taetšokakanyo / pontšhokakanyo	estimate
akhaonte	account
akhaonte / tšhupatlotlo	account
akhaonte ya go fa tsebišo pele o ntšha tšhelete	notice deposit account / notice deposit
akhaonte ya go hloka mašeleng	dormant account
akhaonte ya mokitlana / akhaonte ya sekoloto	credit account
akhaonte ya panka	bank account
akhaonte ya peeletšo ya go beelwa nako	fixed-deposit account
akhaonte ya polokelo	deposit account
akhaonte ya polokelo	savings account
akhaonte ya tšheke	current account
akhaonte ya tšheke ya kopanelapeeletšo	call deposit account
akheropete / motsarogi	acrobat
akhrileiti / akhirileiti	acrylate
akhwariamo / bolotadiphelameetseng	aquarium
akone	argon
ala / hlatlaganya	line
ala molaokakanywa	table a bill
alafa	treat
alama / alamela	brood
alamo / saerine / pasara	buzzer
alepamo	album
alepamo ya CD	CD album
alepamo ya bobedi ya modiragatši	sophomore album
alepamo ya jese	jazz album
alepamo ya mathomo	debut album
alepamo ya solo / alepamo ya moopelanoši	solo album
aletare	altar
aletho / lentšu la bobedi la moopelo	alto
aletši	allergy
aletšitluluthene	coeliac disease / celiac disease
alfabete	alphabet
alpumini / alipumini	albumin
aluminiamo	aluminium / Al
amanago / tswalanago	relative
aminoesiti	amino acid
amithara	ammeter / amperemeter
amnišia / aminešia	amnesia
amoga thoto ga lebakanyana	sequestrate
amogela	receive
amogelega / amogelegago	acceptable
amogelwa bookelong	hospitalisation
amonia	ammonia
amoniamnaethreite	ammonium nitrate
amoniamtleloraete	ammonium chloride
amp / ampere	ampere / amp
amphoulu	ampoule
amphoulu	ampoule / ampule
ampulentshe	ambulance
amuša mekgato / nyantšha	breastfeed / nurse
anafilakisisi / aletšikotsikotsi	anaphylaxis
aneyurisimi / kokomogotšhikamadi	aneurysm
angwa	affected
anivesari	anniversary / renewal date / anniversary date
anoute / anoude	anode
anthihistamaene	antihistamine
anyuithente / moamogedi wa anyuithi	annuitant
anyuithi	annuity
anyuithi ya go iphediša	living annuity
anyuithi ya tholomodiro / anyuithi ya phentšhene	retirement annuity / RA
apogile	clear
apola / apole / apolo	apple
apolkose	apricot
aragnite / aragniti	arachnid
areka	ark
ariya / koša ya moopelanoši ka diletšo	aria
arogana	branch
arogane / kgaogane	separate
aroganya	break up
aroganya / kgaoganya	separate
arola / abaganya	divide
arolega / ripaganyega	divisible
asb / marela / marelela / lentsweboya / asbestose	asbestos / asb
ase	axis
asema / bolwetši bja mafahla	asthma
aseniki	arsenic
asethoune	acetone
asipirini	aspirin
aterese	address
atheriamo / atriamo / sekgobagadiseyagodimo	atrium
athomo	atom
atiša	times
atiša / efa palokatišwa	multiply
atiša / tswadiša	propagate
atla / tia tladimolongwana	kiss
atlega / phasa	pass
atšentshi ya matlotlo a tša bokgabo / kemedi ya matlotlo a tša bokgabo	art funding agency
ayodine / ayotine	iodine
ayone	ion
ayone	iron / Fe
ayotinitswapolwa / ayodinetswapolwa	diluted iodine
ba go ba le sa bona le ba go se be le selo	haves and have-nots
ba go hlokišwa go ya ka histori	historically disadvantaged
ba go se šome	unemployed
baabi ba matlotlo a bokgabo / baabi ba matlotlo a botaki	arts funding body
baahlodi	jury
baahlodi diphadišanong	panel
babalela / seketša	conserve
badiredi ba sehlopha lepatlelong	technical team
baera / mohuta wa motantsho wa Mapotokisi	vira
baerase	virus
baerase ya hephathaithisi / kokwanatlhoko ya go ruruga ga sebete	hepatitis virus
baerase ya mokhohloane / mokomane	flu virus
